"Step","[256, 256, 256, 128], lr=0.0005, alt-cropped-validation - learning_rate_step","[256, 256, 256, 128], lr=0.0005, alt-cropped-validation - learning_rate_step__MIN","[256, 256, 256, 128], lr=0.0005, alt-cropped-validation - learning_rate_step__MAX"
"0","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"1","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"2","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"3","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"4","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"5","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"6","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"7","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"8","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"9","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"10","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"11","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"12","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"13","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"14","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"15","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"16","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"17","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"18","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"19","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"20","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"21","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"22","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"23","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"24","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"25","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
"26","0.0005000000237487257","0.0005000000237487257","0.0005000000237487257"
